trackID, chamberNb, energyDeposit(keV), Xpos, Ypos, Zpos
86 , 6, 7.426e+01, -3.176e+00, 7.419e+00, -1.087e+01
86 , 7, 1.229e+02, -3.671e+00, 8.305e+00, -1.276e+01
86 , 8, 8.299e+01, -4.207e+00, 9.171e+00, -1.486e+01
86 , 9, 8.650e+01, -4.803e+00, 1.001e+01, -1.725e+01
85 , 0, 1.268e+02, 2.010e+00, -3.461e-02, -8.911e+00
85 , 1, 1.401e+02, 3.003e+00, -3.162e-01, -1.331e+01
85 , 2, 1.183e+02, 3.960e+00, -7.502e-01, -1.752e+01
85 , 3, 1.209e+02, 4.868e+00, -1.306e+00, -2.148e+01
85 , 4, 9.267e+01, 5.721e+00, -1.967e+00, -2.518e+01
85 , 5, 9.276e+01, 6.522e+00, -2.703e+00, -2.864e+01
85 , 6, 9.710e+01, 7.273e+00, -3.497e+00, -3.185e+01
85 , 7, 9.960e+01, 7.979e+00, -4.333e+00, -3.486e+01
85 , 8, 9.599e+01, 8.642e+00, -5.208e+00, -3.767e+01
85 , 9, 1.082e+02, 9.246e+00, -6.141e+00, -4.039e+01
84 , 0, 7.558e+02, 3.852e-01, 1.973e+00, -4.230e+01
80 , 0, 3.159e+01, 2.479e-01, -1.995e+00, -7.869e-01
80 , 1, 3.370e+01, 3.716e-01, -2.997e+00, -1.156e+00
80 , 2, 2.717e+01, 4.944e-01, -4.000e+00, -1.507e+00
80 , 3, 3.280e+01, 6.154e-01, -5.002e+00, -1.842e+00
80 , 4, 2.686e+01, 7.367e-01, -6.005e+00, -2.160e+00
80 , 5, 3.658e+01, 8.567e-01, -7.008e+00, -2.459e+00
80 , 6, 2.839e+01, 9.750e-01, -8.011e+00, -2.742e+00
80 , 7, 3.478e+01, 1.092e+00, -9.014e+00, -3.007e+00
80 , 8, 2.769e+01, 1.211e+00, -1.002e+01, -3.256e+00
80 , 9, 3.277e+01, 1.330e+00, -1.102e+01, -3.488e+00
79 , 0, 3.104e+02, 1.614e+00, -1.198e+00, -1.500e+01
79 , 1, 3.747e+02, 2.780e+00, -1.179e+00, -2.574e+01
79 , 2, 2.908e+02, 4.004e+00, -4.613e-01, -3.606e+01
79 , 3, 2.819e+02, 5.000e+00, 6.341e-01, -4.455e+01
78 , 0, 9.558e+01, 6.837e-01, 1.890e+00, 4.965e+00
78 , 1, 2.403e+02, 1.043e+00, 2.834e+00, 7.591e+00
78 , 2, 7.754e+01, 1.416e+00, 3.773e+00, 1.032e+01
78 , 3, 1.301e+02, 1.800e+00, 4.708e+00, 1.316e+01
78 , 4, 9.108e+01, 2.197e+00, 5.637e+00, 1.612e+01
78 , 5, 9.102e+01, 2.610e+00, 6.560e+00, 1.922e+01
78 , 6, 2.468e+02, 3.043e+00, 7.474e+00, 2.247e+01
78 , 7, 2.468e+02, 3.496e+00, 8.380e+00, 2.590e+01
78 , 8, 1.141e+02, 3.975e+00, 9.274e+00, 2.955e+01
78 , 9, 1.238e+02, 4.487e+00, 1.015e+01, 3.343e+01
76 , 0, 2.938e+01, -1.820e+00, -8.534e-01, 1.928e-01
76 , 1, 2.878e+01, -2.734e+00, -1.282e+00, 2.902e-01
76 , 2, 4.338e+01, -3.649e+00, -1.711e+00, 3.880e-01
76 , 3, 3.114e+01, -4.563e+00, -2.140e+00, 4.861e-01
76 , 4, 2.754e+01, -5.478e+00, -2.569e+00, 5.846e-01
76 , 5, 2.800e+01, -6.392e+00, -2.997e+00, 6.834e-01
76 , 6, 3.197e+01, -7.307e+00, -3.426e+00, 7.824e-01
76 , 7, 4.658e+01, -8.221e+00, -3.854e+00, 8.817e-01
76 , 8, 3.357e+01, -9.136e+00, -4.283e+00, 9.815e-01
76 , 9, 2.443e+01, -1.005e+01, -4.711e+00, 1.082e+00
75 , 0, 9.955e+01, -1.892e+00, -6.785e-01, 3.609e+00
75 , 1, 5.237e+01, -2.798e+00, -1.137e+00, 5.303e+00
75 , 2, 7.181e+01, -3.671e+00, -1.663e+00, 6.910e+00
75 , 3, 1.889e+02, -4.510e+00, -2.249e+00, 8.433e+00
75 , 4, 5.548e+01, -5.318e+00, -2.884e+00, 9.868e+00
